State or Nation,Cycle 1 Total Number of Health Deficiencies,Cycle 1 Total Number of Fire Safety Deficiencies,Cycle 2 Total Number of Health Deficiencies,Cycle 2 Total Number of Fire Safety Deficiencies,Cycle 3 Total Number of Health Deficiencies,Cycle 3 Total Number of Fire Safety Deficiencies,Previous Survey Number of Health Deficiencies,Average Number of Residents Per Day,Reported Nurse Aide Staffing Hours per Resident per Day,Reported LPN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,Reported Licensed Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,Reported Physical Therapist Staffing Hours per Resident Per Day,Number of Fines,Fine Amount in Dollars, Percent of Long Stay Residents Whose Need for Help with ADLs has Increased,Percent of Long Stay Residents Who Self Report Moderate to Severe Pain,Percent of High Risk Long Stay Residents With Pressure Ulcers,Percent of Long Stay Residents Who Lose Too Much Weight,Percent of Low Risk Long Stay Residents Who Lose Control of Their Bowel or Bladder,Percent of Long Stay Residents with a Catheter Inserted and Left in Their Bladder,Percent of Long Stay Residents With a Urinary Tract Infection,Percent of Long Stay Residents Who Have Depressive Symptoms,Percent of Long Stay Residents Who Were Physically Restrained,Percentage of long stay residents experiencing one or more falls with major injury,Percentage of long stay residents assessed and appropriately given the seasonal influenza vaccine,Percentage of long stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of long stay residents who received an antipsychotic medication,Percentage of short stay residents who self-report moderate to severe pain,Percentage of short stay residents with pressure ulcers that are new or worsened,Percentage of short stay residents who were assessed and appropriately given the seasonal influenza vaccine,Percentage of short stay residents assessed and appropriately given the pneumococcal vaccine,Percentage of short stay residents who newly received an antipsychotic medication,Percentage of long stay residents whose ability to move independently worsened,Percentage of long stay residents who received an antianxiety or hypnotic medication,Percentage of short stay residents who made improvements in function,Percentage of short stay residents who were rehospitalized after a nursing home admission,Percentage of short stay residents who had an outpatient emergency department visit,Percentage of short stay residents who were successfully discharged to the community,Processing Date
NATION,,3,,3,,3,5.8,86.4,2.32,0.87,0.66,1.54,3.86,0.11,0.4,14398.00,14.981222%,5.58763%,5.572479%,7.05313%,47.89026%,1.832783%,3.419823%,4.755904%,0.401338%,3.373632%,95.055201%,94.105952%,15.479082%,13.313806%,0.879637%,81.478004%,83.291367%,1.977782%,18.25062%,22.446278%,67.793374%,21.100346%,11.859575%,57.029904%,06/01/2018
AK,,3.8,,4.9,,3.3,9.6,35.7,4.27,0.71,2.11,2.82,7.1,0.12,0.8,14351.00,15.865385%,21.798143%,3.829533%,6.406214%,40.611103%,1.954031%,3.409145%,6.578682%,0.690598%,2.606121%,97.820838%,94.985151%,11.776231%,34.031005%,2.083786%,85.833141%,82.246366%,1.950982%,21.486559%,17.845459%,70.68435%,12.200076%,8.222515%,68.127998%,06/01/2018
AL,,3.3,,3.1,,3.7,4.1,99.6,2.52,1,0.55,1.55,4.07,0.05,0.2,13374.00,12.753384%,4.924689%,5.560795%,8.414198%,43.403784%,1.884763%,3.493804%,1.143164%,0.756688%,3.191259%,93.798481%,93.7229%,18.91312%,11.934151%,0.785866%,81.662465%,83.702514%,2.259746%,15.322916%,28.648515%,62.019543%,21.743648%,10.583969%,58.989532%,06/01/2018
AR,,0.8,,0.6,,0.7,4.5,79.4,2.7,1.02,0.36,1.38,4.08,0.07,0.6,17257.00,15.330362%,5.282306%,5.54376%,6.528988%,37.968627%,2.292664%,3.725544%,1.936882%,0.432559%,4.147914%,96.314091%,95.518432%,15.099776%,12.032394%,0.981854%,81.700609%,82.614705%,2.157267%,16.108273%,25.886907%,69.649043%,24.869366%,15.939919%,52.397543%,06/01/2018
AZ,,2.8,,2.6,,3.5,3.6,79.0,2.38,1.03,0.77,1.8,4.18,0.16,0.1,1546.00,13.889768%,7.122442%,5.380364%,6.633303%,59.836364%,1.928731%,2.560141%,2.392781%,0.310472%,2.921157%,97.342889%,97.614775%,14.123661%,15.443371%,0.400055%,88.790855%,92.26058%,1.300158%,19.777646%,21.391274%,65.106865%,21.481093%,11.788992%,62.972374%,06/01/2018
CA,,2,,3.9,,4.4,9.6,86.6,2.41,1.1,0.59,1.69,4.1,0.13,0.3,7734.00,10.516056%,2.89736%,5.565349%,5.765689%,43.711848%,1.945381%,2.296513%,0.743524%,0.608171%,1.736169%,95.878757%,96.652524%,11.379986%,7.466684%,0.538859%,86.074182%,87.817196%,1.524019%,15.118115%,18.466699%,68.051605%,21.104522%,10.954081%,55.99521%,06/01/2018
CO,,0,,0,,0,7,73.9,2.37,0.67,0.91,1.58,3.95,0.13,0.4,17439.00,14.833474%,7.400083%,4.110767%,7.379122%,48.596797%,1.985964%,2.566319%,3.675596%,0.202886%,3.547133%,93.765828%,89.990363%,14.640672%,15.575252%,0.677042%,74.379905%,76.644735%,1.759159%,17.260493%,15.622642%,67.754499%,18.166485%,12.380753%,58.585117%,06/01/2018
CT,,0.6,,0.5,,0.6,5.4,102.6,2.29,0.75,0.77,1.52,3.81,0.13,1,8057.00,15.130205%,4.157211%,3.949787%,6.79999%,44.857219%,1.171432%,2.555526%,1.590505%,0.114438%,3.209698%,95.124409%,94.31506%,16.071089%,12.169083%,0.616777%,80.018755%,81.21503%,1.660811%,18.153999%,20.688005%,68.281052%,20.415373%,11.977917%,59.689401%,06/01/2018
DC,,1.9,,2.2,,3.3,10.8,132.0,2.71,0.74,1.28,2.02,4.73,0.19,0.2,30494.00,15.126441%,0.699009%,10.425946%,5.401279%,62.11527%,1.09168%,2.902257%,0.734532%,0.168317%,1.086829%,96.057975%,89.205953%,11.300639%,4.963583%,0.670972%,79.149086%,74.420082%,1.825361%,17.404468%,12.279697%,63.358154%,19.048462%,9.16003%,57.041801%,06/01/2018
DE,,1.5,,2.1,,1.6,8.9,92.3,2.48,0.89,1.1,1.99,4.47,0.13,0.2,22346.00,15.001173%,4.892862%,3.615468%,5.956896%,50.631738%,0.918392%,4.38745%,2.115345%,0.567388%,3.564329%,97.486755%,97.274666%,13.525392%,11.032953%,1.695573%,84.092763%,86.799741%,1.370585%,19.1003%,23.592401%,71.715579%,18.963432%,10.824304%,61.187118%,06/01/2018
